32135, the Ville, classroom building
32145, the Ville, canteen
32155, the Ville, headmasters' office and dormitory
32165, the Ville, pond
32175, the Ville, student dormitory 1
32185, the Ville, playground
32195, the Ville, laundry room
32126, the Ville, teacher1's office and dormitory
32146, the Ville, teacher2's office and dormitory
32156, the Ville, teacher3's office and dormitory
32166, the Ville, teacher4's office and dormitory
32176, the Ville, teacher5's office and dormitory
32186, the Ville, student dormitory 2
32196, the Ville, student dormitory 3
32137, the Ville, student dormitory 4
32147, the Ville, student dormitory 5
32157, the Ville, student dormitory 6